lines	bytes	repo	path
372026	10553056	tractor-dce-gyo	wag-viewer-prime-integration-20251112-055341 copy/all-parts-descriptors.json
339442	33993038	arkadu	deep/json_files.json
282506	7711238	arkadu	sys/scale-verification.json
161098	7204218	arkadu	sys/genoma-sequences.json
83417	1333063	tractor-dce-gyo	wag-viewer-prime-integration-20251112-055341 copy/ldraw-connectivity-index.json
77885	2274585	txz-ancient	WAV_waves/shield_tuner_dataset.json
76116	2336955	gob	FARM-TO-SCREEN/parsed_master_analyst/papers/zettelkasten_notes.json
76116	2336955	gaze	FARM-TO-SCREEN/parsed_master_analyst/papers/zettelkasten_notes.json
75094	2072335	txz-ancient	WAV_waves/phoneme_map.json
73748	719732	abc-flix	TUBE/rl-policy-operator.json
68636	1374633	wag-gallery	wag_gold_scene_1_2025-11-21_18-47-54.json
68636	1374633	wag-gallery	wag_gold_scene_1_2025-11-21_18-47-54 (1).json
47497	692403	abc-flix	SWARMS/TEST DANCE/riverbed-annotation-v3 (1).json
40730	1405280	1000-small-futures	legos-multi-channel-1761207137644.json
33360	1034524	tractor-dce-gyo	wag-viewer-prime-integration-20251112-055341 copy/minifig-library.json
33360	1034524	core-age	wag-viewer-prime-integration-20251112-055341-copy/minifig-library.json
31156	640672	tractor-dce-gyo	update-test.json
28636	878038	tractor-dce-gyo	wag-viewer-prime-integration-20251112-055341 copy/minifig-descriptors.json
28636	878038	core-age	wag-viewer-prime-integration-20251112-055341-copy/minifig-descriptors.json
25465	197162	abc-flix	TUBE/icaro_tensor_frame_05.json
20756	481968	operation-describe	evidence/sources/Operative Ekphrasis, Thick Description.json
20756	481968	operation-describe	Operative Ekphrasis, Thick Description.json
20598	637331	wh-ripple	genome-patches.json
20284	1136837	shiny-goggles	parsed_entities.json
19994	618842	tractor-dce-gyo	legos-multi-channel-1764651203785.json
19994	618841	core-age	legos-multi-channel-1764651203785.json
19039	647990	tractor-field-notes	SHROUDED HISTORY/extracted_instances/index.json
19039	647990	shroud-project	extracted_instances/index.json
19039	647990	looking-machine	SHROUDED HISTORY/extracted_instances/index.json
18615	388607	wag-gallery	wag_gold_scene_1_2025-11-20_23-18-17.json
18615	388607	wag-gallery	wag_gold_scene_1_2025-11-20_23-18-16.json
17695	362083	wag-gallery	wag_gold_scene_1_2025-11-21_01-30-17.json
17695	362083	wag-gallery	wag_gold_scene_1_2025-11-21_01-30-17 (1).json
17375	453876	core-age	test-wag-gold.json
17375	358406	wag-gallery	wag_gold_scene_1_2025-11-21_16-25-59.json
17375	358406	wag-gallery	wag_gold_scene_1_2025-11-21_16-25-59 (1).json
17375	358406	wag-gallery	test-wag_gold_scene_1_2025-11-21_16-25-59.json
17375	358406	tractor-dce-gyo	test-wag_gold_scene_1_2025-11-21_16-25-59.json
16487	404418	island-ecology	BEES ON A TRAIN/worlds_synthesized.json
15876	360056	wag-gallery	wag_gold_scene_1_2025-11-22_20-50-00.json
15876	360056	wag-gallery	wag_gold_scene_1_2025-11-22_20-50-00 (1).json
15551	316431	wag-gallery	wag_gold_scene_1_2025-11-19_03-52-36.json
15551	316431	wag-gallery	wag_gold_scene_1_2025-11-19_03-52-36 (1).json
15551	316431	wag-gallery	wag_gold_scene_1_2025-11-19_03-52-17.json
15551	316431	wag-gallery	wag_gold_scene_1_2025-11-19_03-52-17 (1).json
15551	316431	wag-gallery	wag_gold_scene_1_2025-11-19_03-51-29.json
15551	316431	wag-gallery	wag_gold_scene_1_2025-11-19_03-51-29 (1).json
15551	316431	wag-gallery	wag_gold_scene_1_2025-11-19_03-50-57.json
15072	303671	wag-gallery	wag_gold_scene_1_2025-11-19_05-10-07.json
15072	303671	wag-gallery	wag_gold_scene_1_2025-11-19_05-10-07 (1).json
14940	380892	tractor-dce-gyo	Brickfilm_Studio_Kit/wag_courage_tests/wag-gold-scene-calibration-compass.json
14940	380892	core-age	wag-gold-scene.json
14940	380892	core-age	gold-nba.json
14940	298832	wag-gallery	wag_gold_scene_1_2025-11-19_06-55-07.json
14940	298832	wag-gallery	wag_gold_scene_1_2025-11-19_06-55-07 (1).json
14872	297416	wag-gallery	wag_gold_scene_1_2025-11-20_21-08-39.json
14872	297416	wag-gallery	wag_gold_scene_1_2025-11-20_21-08-39 (1).json
14872	297416	wag-gallery	wag_gold_scene_1_2025-11-19_05-35-44.json
14872	297416	wag-gallery	wag_gold_scene_1_2025-11-19_05-35-44 (1).json
14872	297415	wag-gallery	wag_gold_scene_1_2025-11-19_09-32-51.json
14872	297415	wag-gallery	wag_gold_scene_1_2025-11-19_09-32-50.json
14872	297415	wag-gallery	wag_gold_scene_1_2025-11-19_06-50-59.json
14872	297415	wag-gallery	wag_gold_scene_1_2025-11-19_06-50-59 (1).json
14872	297415	wag-gallery	wag_gold_scene_1_2025-11-19_06-28-48.json
14872	297415	wag-gallery	wag_gold_scene_1_2025-11-19_06-28-47.json
14872	297415	wag-gallery	wag_gold_scene_1_2025-11-19_06-27-28.json
14872	297415	wag-gallery	wag_gold_scene_1_2025-11-19_06-27-28 (1).json
14872	297415	wag-gallery	wag_gold_scene_1_2025-11-19_05-49-34.json
14872	297415	wag-gallery	wag_gold_scene_1_2025-11-19_05-49-34 (1).json
14732	300605	wag-gallery	wag_gold_scene_1_2025-11-22_20-36-26.json
14732	300605	wag-gallery	wag_gold_scene_1_2025-11-22_20-36-26 (1).json
14732	300605	wag-gallery	wag_gold_scene_1_2025-11-22_20-09-17.json
14732	300605	wag-gallery	wag_gold_scene_1_2025-11-22_20-09-17 (1).json
14732	300605	wag-gallery	wag_gold_scene_1_2025-11-22_19-02-54.json
14732	300605	wag-gallery	wag_gold_scene_1_2025-11-22_19-02-53.json
14732	300605	core-age	wag_gold_scene_1_2025-11-22_20-09-17 (1).json
14644	294579	wag-gallery	wag_gold_scene_1_2025-11-19_07-24-55.json
14644	294579	wag-gallery	wag_gold_scene_1_2025-11-19_07-24-55 (1).json
14644	294579	wag-gallery	wag_gold_scene_1_2025-11-19_06-25-50.json
14644	294579	wag-gallery	wag_gold_scene_1_2025-11-19_06-25-50 (1).json
14644	294540	wag-gallery	wag_gold_scene_1_2025-11-19_04-52-50.json
14644	294540	wag-gallery	wag_gold_scene_1_2025-11-19_04-52-50 (1).json
14644	294540	core-age	wag_gold_scene_1_2025-11-19_04-52-50 (1).json
14567	277706	tractor-field-notes	SHROUDED HISTORY/entities_index.json
14567	277706	shroud-project	entities_index.json
14567	277706	looking-machine	SHROUDED HISTORY/entities_index.json
13676	288236	wag-gallery	wag_gold_scene_1_2025-11-19_09-39-40.json
13676	288236	wag-gallery	wag_gold_scene_1_2025-11-19_09-39-40 (1).json
13632	286190	wag-gallery	wag_gold_scene_1_2025-11-19_09-47-11.json
13632	286190	wag-gallery	wag_gold_scene_1_2025-11-19_09-47-10.json
13427	1738708	gob	FARM-TO-SCREEN/parsed_master_analyst/weapons/weaponized_essays.json
13427	1738708	gaze	FARM-TO-SCREEN/parsed_master_analyst/weapons/weaponized_essays.json
13360	280417	wag-gallery	wag_gold_scene_1_2025-11-19_09-40-13.json
13360	280417	wag-gallery	wag_gold_scene_1_2025-11-19_09-40-12.json
12140	144478	abc-flix	TUBE/icaro-slice-court-evidence.json
11543	235187	wag-gallery	wag_gold_scene_1_2025-11-20_20-30-22.json
11543	235187	wag-gallery	wag_gold_scene_1_2025-11-20_20-30-21.json
10999	3631691	arkadu	deep/python_files.json
10501	327305	holo-project	legos-multi-channel-1762043410664.json
10067	350173	wh-ripple	github-ripple-index.json
9966	303134	tractor-dce-gyo	wag-viewer-prime-integration-20251112-055341 copy/large-ready-mades.json
9966	303134	core-age	wag-viewer-prime-integration-20251112-055341-copy/large-ready-mades.json
8572	353988	mythos-canon	mythos_canon_complete.json
8425	420073	atg-3	SHUFFLE/forager/corpus_index.json
8007	234584	tractor-dce-gyo	wag-viewer-prime-integration-20251112-055341 copy/minifig-descriptors-torsos.json
8007	234584	core-age	wag-viewer-prime-integration-20251112-055341-copy/minifig-descriptors-torsos.json
8007	231490	tractor-dce-gyo	wag-viewer-prime-integration-20251112-055341 copy/minifig-descriptors-heads.json
8007	231490	core-age	wag-viewer-prime-integration-20251112-055341-copy/minifig-descriptors-heads.json
7908	218709	mythos-canon	MYTHOS-ARCHIVE/mythos_canon_v2.json
7903	220319	mythos-canon	MYTHOS-ARCHIVE/mythos_canon_nodes_nested.json
7751	172126	tractor-dce-gyo	wag_gold_other_563_2025-11-21_16-21-42.json
7751	172126	core-age	wag_gold_other_563_2025-11-21_16-21-42.json
7514	443693	atg-3	SHUFFLE/unified/citation_index.json
6495	152690	abc-flix	TUBE/video-rl-policy.json
6427	181580	tractor-dce-gyo	wag-viewer-prime-integration-20251112-055341 copy/minifig-descriptors-legs.json
6427	181580	core-age	wag-viewer-prime-integration-20251112-055341-copy/minifig-descriptors-legs.json
5278	185717	wh-ripple	github-thematic-index.json
5116	120109	living-library	public/assets/tilemap.json
4942	937754	tractor-field-notes	DYAD/onyx-full-data-2025-12-06T01-45-19-862Z.json
4942	937754	tractor-dce-gyo	onyx-full-data-2025-12-06T01-45-19-862Z.json
4942	937754	looking-machine	DYAD/onyx-full-data-2025-12-06T01-45-19-862Z.json
4942	937754	dyad	onyx-full-data-2025-12-06T01-45-19-862Z.json
4695	710277	golden-river	operator-lab/operators.index.json
4631	178627	media-culture	spine_ribs_both.json
4033	1082600	re-dna	data/chunk_003/chunk_003_successful.json
4007	112606	tractor-dce-gyo	wag-viewer-prime-integration-20251112-055341 copy/minifig-descriptors-hips.json
4007	112606	core-age	wag-viewer-prime-integration-20251112-055341-copy/minifig-descriptors-hips.json
3870	502871	looking-machine	GAZE/creatureliness-finals/matrix.json
3702	152797	growing-entanglements	o1.json
3667	835726	re-dna	data/chunk_001/chunk_001_successful.json
3546	2953802	eva-eval	eeggaadd.json
3510	543381	looking-machine	GAZE/creatureliness-manual-flow/matrix.json
3478	917267	re-dna	data/chunk_002/chunk_002_successful.json
3363	61669	tractor-field-notes	SHROUDED HISTORY/relations_index.json
3363	61669	shroud-project	relations_index.json
3363	61669	looking-machine	SHROUDED HISTORY/relations_index.json
3356	285530	eos	CODEX/notes_formatted.json
3278	116628	wa	examples/models/ldraw/officialLibrary/filesMap.json
3278	116628	ldrawExample	examples/models/ldraw/officialLibrary/filesMap.json
3271	828875	re-dna	data/chunk_005/chunk_005_successful.json
3234	969727	re-dna	data/chunk_004/chunk_004_successful.json
3110	451921	looking-machine	GAZE/creatureliness-singular-pages/matrix.json
2871	72338	tractor-field-notes	DYAD/thematic-analysis.json
2871	72338	looking-machine	DYAD/thematic-analysis.json
2871	72338	dyad	thematic-analysis.json
2865	805318	re-dna	data/chunk_006/chunk_006_successful.json
2282	292227	island-ecology	BEES ON A TRAIN/worlds.json
2207	60841	tractor-dce-gyo	wag-viewer-prime-integration-20251112-055341 copy/minifig-descriptors-arms.json
2207	60841	core-age	wag-viewer-prime-integration-20251112-055341-copy/minifig-descriptors-arms.json
2206	58672	tractor-dce-gyo	wag-viewer-prime-integration-20251112-055341 copy/scene-shells.json
2206	58672	core-age	wag-viewer-prime-integration-20251112-055341-copy/scene-shells.json
2195	150837	encoded-power	tactics.json
2193	301159	gob	FARM-TO-SCREEN/parsed_master_analyst/index.json
2193	301159	gaze	FARM-TO-SCREEN/parsed_master_analyst/index.json
2170	69323	forkit	fork-paradox-corpus.json
1994	203643	tractor-field-notes	CAN/screenplays.json
1994	203643	looking-machine	CAN/screenplays.json
1994	203643	hyperclay-editor	CAN/screenplays.json
1970	90847	tractor-field-notes	DYAD/chapter-final-decisions.json
1970	90847	tractor-dce-gyo	chapter-final-decisions.json
1970	90847	looking-machine	DYAD/chapter-final-decisions.json
1970	90847	dyad	chapter-final-decisions.json
1705	91264	tractor-dce-gyo	ip-index.json
1659	44432	tractor-field-notes	DYAD/tournament.json
1659	44432	looking-machine	DYAD/tournament.json
1659	44432	dyad	tournament.json
1643	2505147	gob	WORLD-TEXT-DOUBLE.parsed.json
1643	2505147	gaze	WORLD-TEXT-DOUBLE.parsed.json
1607	56761	hardfork-iconic-100	upstream_running.json
1383	30748	wag-gallery	wag_gold_scene_1_2025-11-21_17-17-41.json
1383	30748	wag-gallery	wag_gold_scene_1_2025-11-21_17-17-41 (1).json
1308	41696	vibe-crates	vc.json
1282	117617	eos	CODEX/notes.json
1221	34894	tractor-field-notes	DYAD/ontology.json
1221	34894	looking-machine	DYAD/ontology.json
1221	34894	dyad	ontology.json
1156	30967	tractor-field-notes	DYAD/bracket-two-sided.json
1156	30967	looking-machine	DYAD/bracket-two-sided.json
1156	30967	dyad	bracket-two-sided.json
1153	842343	codex-reader	spencer-brown-analysis-of-text.json
1147	61639	txz-ancient	shield-ripples/final-production-kit/album_10_tracks_full.json
1119	91130	forkit	fork-paradox-thick.json
1099	33316	k2.html	sample-crate-120.json
1077	154257	tractor-field-notes	STEELMAN/slides.json
1077	154257	steelman2	slides.json
1077	154257	potters-wheel	STEELMAN/slides.json
1077	154257	looking-machine	STEELMAN/slides.json
1077	154257	hyperclay-editor	STEELMAN/slides.json
1077	154257	genoma	STEELMAN/slides.json
1077	154257	fuse	STEELMAN/slides.json
1077	154257	edc	STEELMAN/slides.json
1077	154257	codon	STEELMAN/slides.json
1076	53715	encoded-power	TETRAFORMER/encoding.json
1047	48968	encoded-power	TETRAFORMER/decoding.json
1042	30606	abc-flix	TUBE/archive/golden-egg-blocks-1777153115055.json
999	35337	AI_DMV	NBLM_THEMES.json
999	25321	wag-gallery	wag_gold_scene_1_2025-11-19_03-45-11.json
999	25321	wag-gallery	wag_gold_scene_1_2025-11-19_03-45-11 (1).json
998	25294	wag-gallery	wag_gold_scene_1_2025-11-19_03-25-45.json
998	25294	wag-gallery	wag_gold_scene_1_2025-11-19_03-25-45 (1).json
998	25294	tractor-dce-gyo	Brickfilm_Studio_Kit/wag_courage_tests/wag_gold_scene_1_2025-11-19_03-25-45 (1).json
998	25294	core-age	gold_test.json
979	29466	k2.html	latent-radio-120.json
968	32295	pretext-field	corpora/representative.json
965	34692	sense-ritual	filter-bubbles-documentary.oti.json
962	22503	pretext-field	corpora/chrome-step10.json
954	128713	tractor-field-notes	SHROUDED HISTORY/trees_catalog.json
954	128713	shroud-project	trees_catalog.json
954	128713	looking-machine	SHROUDED HISTORY/trees_catalog.json
928	29750	abc-flix	TUBE/golden-egg-blocks-1777153444237.json
926	51549	func-sub	railway-junction-1762316728480.json
914	51562	forkit	fork-paradox-cascade-thick-6.json
897	28997	wag-gallery	wag_gold_scene_1_2025-12-12_02-50-57.json
897	28997	wag-gallery	wag_gold_scene_1_2025-12-12_02-50-57 (1).json
895	618540	codex-reader	moo-dang-critical-theory-paper.json
895	618540	codex-reader	john-olivers-despair-index.json
891	806426	codex-reader	ai-generated-content-flood.json
887	32914	tractor-field-notes	SHROUDED HISTORY/extracted_trees/index.json
887	32914	shroud-project	extracted_trees/index.json
887	32914	looking-machine	SHROUDED HISTORY/extracted_trees/index.json
868	27255	abc-flix	TUBE/archive/golden-egg-blocks-1777152974698.json
849	38503	wave	crate-purple.json
843	27416	sense-ritual	test-data-full.oti.json
827	28284	atg-3	data/atg-trail-map.json
822	43905	holo-project	disc-data-black-metal-first-of-us.json
818	62978	itinerant-prompt	wo.json
810	38783	func-sub	complete_node_dataset.json
806	61181	forkit	fork-paradox-sitcom.json
796	16137	tractor-field-notes	DYAD/characters.json
796	16137	looking-machine	DYAD/characters.json
796	16137	dyad	characters.json
788	91979	hyperclay	wikan_fixed.json
788	91979	hyperclay	wikan.json
783	24472	holo-project	sheep-parliament-actual.json
737	43590	text-ure	shield 52/8.json
721	40760	forkit	fork-paradox-cascade-thick-12.json
710	22019	tractor-dce-gyo	scenario-seeds.json
703	63513	forkit	fork-paradox-cybernetics.json
697	51479	forkit	fork-paradox-midnight.json
691	22250	tractor-field-notes	SHROUDED HISTORY/definitions_index.json
691	22250	shroud-project	definitions_index.json
691	22250	looking-machine	SHROUDED HISTORY/definitions_index.json
673	33704	text-ure	urn-52/6.json
672	350839	gob	FARM-TO-SCREEN/parsed_master_analyst/papers/all_sections.tsv
672	350839	gaze	FARM-TO-SCREEN/parsed_master_analyst/papers/all_sections.tsv
666	37333	forkit	fork-paradox-cascade-thick-24.json
659	37940	forkit	fork-paradox-cascade-thick-18.json
653	36545	opek	OPERATIVES/ocr_export.json
652	24922	wag-gallery	wag_gold_scene_1_2025-12-12_02-23-04.json
652	24922	wag-gallery	wag_gold_scene_1_2025-12-12_02-23-04 (1).json
637	38821	opek	UNDERSTANDING AI/ocr_export.json
636	21309	k2.html	data/sample-crate-yt.json
633	23653	atg-3	data/creator-trail-olog.json
628	26704	tractor-dce-gyo	legos-ring-memory-1764651008512.json
628	26704	core-age	legos-ring-memory.json
624	39844	tractor-dce-gyo	Brickfilm_Studio_Kit/REALITY MEDIA_MOMENTO/undaunted-disc.json
610	32571	forkit	fork-paradox-cascade-thick-42.json
602	21284	resonome-genetic-archive	archive.json
593	21547	wave	crate-blue.json
589	21938	text-ure	urn-52/5.json
571	26050	1000-small-futures	legos-ring-memory-1761206740851.json
570	14338	pretext-field	corpora/dashboard.json
563	22500	text-ure	urn-3/8.json
556	18489	abc-flix	TUBE/archive/golden-egg-blocks-1777153181461.json
555	23359	wag-gallery	wag_gold_scene_1_2025-12-12_03-07-03.json
555	23359	wag-gallery	wag_gold_scene_1_2025-12-12_03-07-03 (1).json
552	18907	pretext-field	status/dashboard.json
546	22062	wag-gallery	wag_gold_scene_1_2025-12-12_03-12-33.json
546	22062	wag-gallery	wag_gold_scene_1_2025-12-12_03-12-33 (1).json
544	16440	text-ure	urn-52/9.json
525	22646	encoded-power	TETRAFORMER/decode-card.json
523	29140	forkit	fork-paradox-cascade-thick-30.json
507	22022	wag-gallery	wag_gold_scene_1_2025-12-12_02-47-24.json
507	22022	wag-gallery	wag_gold_scene_1_2025-12-12_02-47-24 (1).json
502	36358	itinerant-prompt	jay.json
498	16055	tractor-field-notes	FUSE/project_ontology.json
498	16055	potters-wheel	FUSE/project_ontology.json
498	16055	looking-machine	FUSE/project_ontology.json
498	16055	intron	project_ontology.json
498	16055	hyperclay-editor	FUSE/project_ontology.json
498	16055	genoma	FUSE/project_ontology.json
498	16055	codon	FUSE/project_ontology.json
495	253614	eos	CODEX/notes_structured.json
492	20285	forkit	fork-paradox-tracks-entities.json
492	18885	holo-project	rootcare-after-collapse.json
470	43060	tractor-field-notes	2400_25/rel.structured.json
470	43060	potters-wheel	2400_25/rel.structured.json
470	43060	os-dope	rel.structured.json
470	43060	looking-machine	2400_25/rel.structured.json
470	43060	hyperclay-editor	2400_25/rel.structured.json
469	178672	gob	WORLD-TEXT-DOUBLE.templates.json
469	178672	gaze	WORLD-TEXT-DOUBLE.templates.json
462	413259	tractor-field-notes	SHROUDED HISTORY/extracted_blocks.json
462	413259	shroud-project	extracted_blocks.json
462	413259	looking-machine	SHROUDED HISTORY/extracted_blocks.json
453	32094	text-ure	kittler.json
448	24778	forkit	fork-paradox-cascade-thick-36.json
446	24126	forkit	fork-paradox-cascade-thick-48.json
435	30867	abc-flix	AETHEL/shieldmallofachilles_36_cams.json
434	33647	pretext-field	gene-main/registry.json
430	23050	mythos-canon	MYTHOS-ARCHIVE/a0.json
427	15567	abc-flix	SWARMS/TEST DANCE/compile.json
427	15566	abc-flix	SWARMS/TEST DANCE/riverbed-compile.json
420	13844	sense-ritual	NICK/video-codex.json
417	22096	eos	CODEX/film_gaze_codex.json
416	11790	func-sub	dsl-02-log-1762330100262.json
